device /dev/input/event10, name "ELAN Touchscreen", phys "usb-0000:00:14.0-4.4/input0"
(InputEvent(1480382775L, 891059L, 3, 60, 1813L), '---', 1813L)
(InputEvent(1480382775L, 891059L, 3, 0, 1813L), '---', 1813L)
(InputEvent(1480382775L, 899066L, 3, 53, 1812L), '---', 1812L)
(InputEvent(1480382775L, 899066L, 3, 54, 701L), '---', 701L)
(InputEvent(1480382775L, 899066L, 3, 60, 1812L), '---', 1812L)
(InputEvent(1480382775L, 899066L, 3, 61, 701L), '---', 701L)
(InputEvent(1480382775L, 899066L, 3, 0, 1812L), '---', 1812L)
(InputEvent(1480382775L, 899066L, 3, 1, 701L), '---', 701L)
(InputEvent(1480382776L, 77033L, 3, 53, 1811L), '---', 1811L)
(InputEvent(1480382776L, 77033L, 3, 54, 700L), '---', 700L)
(InputEvent(1480382776L, 77033L, 3, 60, 1811L), '---', 1811L)
(InputEvent(1480382776L, 77033L, 3, 61, 700L), '---', 700L)
(InputEvent(1480382776L, 77033L, 3, 0, 1811L), '---', 1811L)
(InputEvent(1480382776L, 77033L, 3, 1, 700L), '---', 700L)
(InputEvent(1480382776L, 182013L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 189761L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 343192L, 3, 53, 1810L), '---', 1810L)
(InputEvent(1480382776L, 343192L, 3, 54, 699L), '---', 699L)
(InputEvent(1480382776L, 343192L, 3, 60, 1810L), '---', 1810L)
(InputEvent(1480382776L, 343192L, 3, 61, 699L), '---', 699L)
(InputEvent(1480382776L, 343192L, 3, 0, 1810L), '---', 1810L)
(InputEvent(1480382776L, 343192L, 3, 1, 699L), '---', 699L)
(InputEvent(1480382776L, 367001L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 374908L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 472034L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 480102L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 495816L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 504032L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 529049L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 545034L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 553044L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 569066L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 585241L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 602080L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 626030L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 642206L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 658036L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 665810L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 674094L, 3, 52, 1L), '---', 1L)
